State Name,county Name,State Code,County Code,DATE,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
Maryland,Anne Arundel,24,3,1/1/24,8,Good,PM10,24-003-1003,1
Maryland,Anne Arundel,24,3,1/7/24,3,Good,PM10,24-003-1003,1
Maryland,Anne Arundel,24,3,1/13/24,2,Good,PM10,24-003-1003,1
Maryland,Anne Arundel,24,3,1/19/24,14,Good,PM10,24-003-1003,1
Maryland,Anne Arundel,24,3,1/25/24,21,Good,PM10,24-003-1003,1
Maryland,Anne Arundel,24,3,1/31/24,7,Good,PM10,24-003-1003,1
Maryland,Anne Arundel,24,3,2/6/24,9,Good,PM10,24-003-1003,1
Maryland,Anne Arundel,24,3,2/12/24,13,Good,PM10,24-003-1003,1
Maryland,Anne Arundel,24,3,2/18/24,5,Good,PM10,24-003-1003,1
Maryland,Anne Arundel,24,3,2/24/24,6,Good,PM10,24-003-1003,1
Maryland,Anne Arundel,24,3,3/1/24,7,Good,PM10,24-003-1003,1
Maryland,Anne Arundel,24,3,3/7/24,3,Good,PM10,24-003-1003,1
Maryland,Anne Arundel,24,3,3/13/24,13,Good,PM10,24-003-1003,1
Maryland,Anne Arundel,24,3,3/19/24,5,Good,PM10,24-003-1003,1
Maryland,Anne Arundel,24,3,3/25/24,7,Good,PM10,24-003-1003,1
Maryland,Anne Arundel,24,3,3/31/24,7,Good,PM10,24-003-1003,1
Maryland,Anne Arundel,24,3,4/1/24,35,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,4/2/24,36,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,4/3/24,36,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,4/4/24,31,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,4/5/24,34,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,4/6/24,36,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,4/7/24,41,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,4/8/24,40,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,4/9/24,48,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,4/10/24,45,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,4/11/24,35,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,4/12/24,42,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,4/13/24,44,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,4/14/24,47,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,4/16/24,46,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,4/17/24,38,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,4/18/24,32,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,4/19/24,30,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,4/20/24,46,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,4/21/24,34,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,4/22/24,44,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,4/23/24,46,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,4/24/24,45,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,4/25/24,33,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,4/26/24,35,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,4/27/24,31,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,4/29/24,61,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,4/30/24,58,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,5/1/24,50,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,5/2/24,67,Moderate,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,5/3/24,36,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,5/4/24,24,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,5/5/24,22,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,5/6/24,18,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,5/7/24,33,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,5/8/24,42,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,5/9/24,41,Good,Ozone,24-003-1004,1
Maryland,Anne Arundel,24,3,5/10/24,34,Good,Ozone,24-003-1004,1
