,Unnamed: 0,DATE,NAME,PRCP,SNOW,SNWD,TMAX,TMIN,TAVG,AWND,State Name,county Name,State Code,County Code,AQI,Category
0,0,2024-01-01,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8.0,0.0,0.0,72.0,28.0,53.0,21.0,Maryland,Anne Arundel,24,3,8,Good
1,1,2024-01-07,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0.0,0.0,0.0,106.0,17.0,48.0,49.0,Maryland,Anne Arundel,24,3,3,Good
2,2,2024-01-13,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",20.0,0.0,0.0,133.0,11.0,97.0,67.0,Maryland,Anne Arundel,24,3,2,Good
4,4,2024-01-25,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",51.0,0.0,0.0,167.0,67.0,95.0,9.0,Maryland,Anne Arundel,24,3,21,Good
5,5,2024-01-31,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0.0,0.0,0.0,67.0,0.0,44.0,18.0,Maryland,Anne Arundel,24,3,7,Good
6,6,2024-02-06,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0.0,0.0,0.0,72.0,-21.0,31.0,30.0,Maryland,Anne Arundel,24,3,9,Good
7,7,2024-02-12,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",25.0,0.0,0.0,94.0,56.0,85.0,21.0,Maryland,Anne Arundel,24,3,13,Good
9,9,2024-02-24,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",3.0,0.0,0.0,106.0,-10.0,68.0,37.0,Maryland,Anne Arundel,24,3,6,Good
10,10,2024-03-01,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8.0,0.0,0.0,100.0,-32.0,33.0,26.0,Maryland,Anne Arundel,24,3,7,Good
11,11,2024-03-07,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8.0,0.0,0.0,178.0,94.0,133.0,39.0,Maryland,Anne Arundel,24,3,3,Good
12,12,2024-03-13,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0.0,0.0,0.0,233.0,44.0,155.0,22.0,Maryland,Anne Arundel,24,3,13,Good
13,13,2024-03-19,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0.0,0.0,0.0,111.0,0.0,48.0,44.0,Maryland,Anne Arundel,24,3,5,Good
14,14,2024-03-25,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0.0,0.0,0.0,117.0,-5.0,57.0,30.0,Maryland,Anne Arundel,24,3,7,Good
15,15,2024-03-31,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0.0,0.0,0.0,206.0,61.0,123.0,22.0,Maryland,Anne Arundel,24,3,7,Good
16,16,2024-04-01,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",180.0,0.0,0.0,122.0,100.0,111.0,30.0,Maryland,Anne Arundel,24,3,35,Good
17,17,2024-04-02,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",239.0,0.0,0.0,100.0,83.0,98.0,50.0,Maryland,Anne Arundel,24,3,36,Good
18,18,2024-04-03,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",307.0,0.0,0.0,100.0,67.0,88.0,56.0,Maryland,Anne Arundel,24,3,36,Good
19,19,2024-04-04,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5.0,0.0,0.0,122.0,17.0,71.0,28.0,Maryland,Anne Arundel,24,3,31,Good
20,20,2024-04-05,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0.0,0.0,0.0,122.0,28.0,73.0,56.0,Maryland,Anne Arundel,24,3,34,Good
21,21,2024-04-06,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0.0,0.0,0.0,133.0,28.0,79.0,53.0,Maryland,Anne Arundel,24,3,36,Good
22,22,2024-04-07,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0.0,0.0,0.0,183.0,44.0,113.0,29.0,Maryland,Anne Arundel,24,3,41,Good
23,23,2024-04-08,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0.0,0.0,0.0,217.0,22.0,121.0,18.0,Maryland,Anne Arundel,24,3,40,Good
24,24,2024-04-09,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0.0,0.0,0.0,250.0,67.0,154.0,13.0,Maryland,Anne Arundel,24,3,48,Good
25,25,2024-04-10,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0.0,0.0,0.0,250.0,139.0,189.0,18.0,Maryland,Anne Arundel,24,3,45,Good
26,26,2024-04-11,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5.0,0.0,0.0,228.0,161.0,191.0,45.0,Maryland,Anne Arundel,24,3,35,Good
