STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,ACMH,ACMH_ATTRIBUTES,ACSH,ACSH_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWND,AWND_ATTRIBUTES,FMTM,FMTM_ATTRIBUTES,FRGT,FRGT_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT10,WT10_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT15,WT15_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT17,WT17_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT21,WT21_ATTRIBUTES,WT22,WT22_ATTRIBUTES,WV01,WV01_ATTRIBUTES,WV03,WV03_ATTRIBUTES,WV20,WV20_ATTRIBUTES
USW00093721,1/1/24,39.17329,-76.68408,42,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",8,",,W,2400",0,",,W",0,",,W",72,",,W",28,",,W",,,,,-28,",,W",10196,",,W",10139,",,W",11,",,W",36,",,W",,,,,,,,,61,",,W",46,",,W",82,",,W",46,"H,,S",,,,,,,300,",,W",330,",,W",,,,,,,,,81,",,W",116,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093721,1/2/24,39.17329,-76.68408,42,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,",,W,2400",0,",,W",0,",,W",72,",,W",0,",,W",,,,,-33,",,W",10176,",,W",10119,",,W",11,",,W",14,",,W",,,,,,,,,63,",,W",42,",,W",82,",,W",28,"H,,S",,,,,,,290,",,W",140,",,W",,,,,,,,,40,",,W",58,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093721,1/3/24,39.17329,-76.68408,42,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,",,W,2400",0,",,W",0,",,W",89,",,W",-27,",,W",,,,,-44,",,W",10186,",,W",10119,",,W",6,",,W",34,",,W",,,,,,,,,57,",,W",38,",,W",73,",,W",44,"H,,S",,,,,,,310,",,W",290,",,W",,,,,,,,,98,",,W",130,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093721,1/4/24,39.17329,-76.68408,42,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,",,W,2400",0,",,W",0,",,W",72,",,W",-10,",,W",,,,,-78,",,W",10264,",,W",10207,",,W",-28,",,W",11,",,W",,,,,,,,,58,",,W",38,",,W",75,",,W",1,"H,,S",,,,,,,260,",,W",310,",,W",,,,,,,,,45,",,W",85,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093721,1/5/24,39.17329,-76.68408,42,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,",,W,2400",0,",,W",0,",,W",56,",,W",-55,",,W",,,,,-6,",,W",10129,",,W",10091,",,W",6,",,W",35,",,W",,,,,,,,,84,",,W",69,",,W",93,",,W",5,"H,,S",,,,,,,60,",,W",40,",,W",,,,,,,,,98,",,W",152,",,W",,,,,1,",,W",,,,,1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093721,1/6/24,39.17329,-76.68408,42,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",305,",,W,2400",0,"T,,W",0,",,W",39,",,W",-32,",,W",,,,,0,",,W",10088,",,W",10014,",,W",33,",,W",49,",,W",,,,,,,,,70,",,W",54,",,W",93,",,W",48,"H,,S",,,,,,,290,",,W",280,",,W",,,,,,,,,125,",,W",170,",,W",,,,,1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093721,1/7/24,39.17329,-76.68408,42,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,",,W,2400",0,",,W",0,",,W",106,",,W",17,",,W",,,,,-28,",,W",10278,",,W",10213,",,W",22,",,W",29,",,W",,,,,,,,,58,",,W",39,",,W",78,",,W",61,"H,,S",,,,,,,10,",,W",340,",,W",,,,,,,,,76,",,W",116,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093721,1/8/24,39.17329,-76.68408,42,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,",,W,2400",0,",,W",0,",,W",100,",,W",-16,",,W",,,,,67,",,W",10091,",,W",9976,",,W",72,",,W",53,",,W",,,,,,,,,88,",,W",78,",,W",93,",,W",55,"H,,S",,,,,,,140,",,W",150,",,W",,,,,,,,,143,",,W",215,",,W",,,,,1,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093721,1/9/24,39.17329,-76.68408,42,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",665,",,W,2400",0,",,W",0,",,W",150,",,W",6,",,W",,,,,0,",,W",9976,",,W",9892,",,W",50,",,W",69,",,W",,,,,,,,,52,",,W",41,",,W",87,",,W",109,"H,,S",,,,,,,270,",,W",260,",,W",,,,,,,,,139,",,W",224,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00093721,1/10/24,39.17329,-76.68408,42,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",0,"T,,W,2400",0,",,W",0,",,W",150,",,W",56,",,W",,,,,-28,",,W",10125,",,W",10058,",,W",22,",,W",20,",,W",,,,,,,,,58,",,W",38,",,W",79,",,W",63,"H,,S",,,,,,,240,",,W",250,",,W",,,,,,,,,72,",,W",98,",,W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
